,TeamName,Setups,High-LastIndex,Delays
0,aneesha,25,881,548
1,aneesha,13,2916,771
2,aneesha,13,1211,1072
3,aneesha,12,2448,920
4,aneesha,16,0,843
5,aneesha,15,175,792
6,aneesha,40,0,247
7,aneesha,24,3033,424
8,aneesha,29,1422,451
9,aneesha,14,1183,1074
10,aneesha,28,1829,406
11,aneesha,30,1772,407
12,aneesha,12,2286,926
13,aneesha,27,1410,490
14,aneesha,22,3089,515
15,aneesha,32,1793,289
16,aneesha,28,3172,339
17,aneesha,25,0,560
18,aneesha,28,1789,433
19,aneesha,36,0,277
20,aneesha,43,0,245
21,aneesha,19,0,621
22,aneesha,13,1953,840
23,aneesha,25,1382,515
24,aneesha,11,2859,975
25,aneesha,25,1457,499
26,aneesha,14,1939,905
27,aneesha,27,1555,455
28,aneesha,26,0,522
29,aneesha,15,2916,730
30,aneesha,27,1499,477
31,aneesha,34,0,390
32,aneesha,24,968,548
33,aneesha,27,3029,429
34,aneesha,21,0,571
35,aneesha,17,0,757
36,aneesha,11,2916,846
37,aneesha,15,137,833
38,aneesha,21,3172,558
39,aneesha,25,2437,463
40,aneesha,45,2,221
41,aneesha,30,1657,420
42,aneesha,33,68,308
43,aneesha,29,1791,426
44,aneesha,16,153,803
45,aneesha,58,1064,219
46,aneesha,35,0,291
47,aneesha,15,0,932
48,aneesha,29,1973,367
49,aneesha,27,0,499
50,aneesha,30,1396,422
51,aneesha,20,0,609
52,aneesha,27,2472,441
53,aneesha,23,3114,427
54,aneesha,18,209,691
55,aneesha,12,2916,830
56,aneesha,29,1793,375
57,aneesha,43,2068,237
58,aneesha,26,3065,415
59,aneesha,18,2041,666
60,aneesha,32,1495,409
61,aneesha,46,0,237
62,aneesha,31,0,437
63,aneesha,37,214,257
64,aneesha,31,1498,408
65,aneesha,32,0,435
66,aneesha,28,424,472
67,aneesha,29,3172,327
68,aneesha,14,1211,982
69,aneesha,56,1065,219
70,aneesha,29,0,461
71,aneesha,31,1640,407
72,aneesha,14,2058,827
73,aneesha,13,2871,837
74,aneesha,27,3255,359
75,aneesha,28,3170,390
76,aneesha,18,42,729
77,aneesha,26,1417,497
78,aneesha,14,1886,918
79,aneesha,22,3209,437
80,aneesha,32,1498,406
81,aneesha,24,1025,540
82,aneesha,23,3172,369
83,aneesha,30,1793,348
84,aneesha,15,2689,779
85,aneesha,30,3172,314
86,aneesha,42,2742,244
87,aneesha,11,2885,940
88,aneesha,33,2,345
89,aneesha,13,0,1300
90,aneesha,23,3053,511
91,aneesha,22,3114,449
92,aneesha,31,1707,383
93,aneesha,35,2,264
94,aneesha,25,1025,539
95,aneesha,18,80,699
96,aneesha,15,120,878
97,aneesha,30,1769,417
98,aneesha,28,1519,450
99,aneesha,14,0,1113
100,aneesha,40,2815,244
101,aneesha,16,175,720
102,aneesha,38,0,248
103,aneesha,32,1690,403
104,aneesha,24,0,567
105,aneesha,24,3017,493
106,aneesha,27,1479,488
107,aneesha,33,0,395
