weight,width,height,color_R,color_G,color_B,fruit
5.1,2.625,2.375,151,69,31,apple
7.6,3,3.25,83,22,21,apple
5,2.5,3,100,164,174,apple
7.4,9.5,3.25,90,46,34,apple
7.4,3.4,3.1,134,18,2,apple
7.6,2.75,3.25,160,55,43,apple
6.7,2.8,3.17,165,48,62,apple
7.5,3,3.2,164,54,42,apple
3.5,2.5,2,128,56,46,apple
7.4,3,3.625,116,46,57,apple
5.28,3.2,3,213,205,190,apple
6.2,5,7.5,132,114,49,banana
3.8,4,6,158,121,31,banana
5,1.5,6,156,123,28,banana
5.2,1.4,6.1,183,145,4,banana
6.1,1.75,8,169,140,52,banana
4,2.5,9,220,186,43,banana
4,1.5,8,190,160,77,banana
6.1,5.25,7.5,183,153,38,banana
5.1,2,7.5,191,137,36,banana
6,3.5,4,172,85,4,orange
8.7,2.8,3.25,176,106,0,orange
11.4,11.5,12.7,198,148,60,orange
5,3.65,3.15,168,110,36,orange
7,2.6,2.6,218,145,50,orange
8.2,2.5,2.5,196,127,13,orange
8.9,3,2.5,165,84,9,orange
9.4,2.6,1.9,153,69,13,orange
4.7,2.75,2.5,193,91,6,orange
10.6,3,3.5,186,88,0,orange
3,4.6,3.8,185,96,28,orange
