Date,Value,Anomaly
193604,44.4,-2.6
193704,44.4,-2.6
193804,47.9,0.9
193904,42.9,-4.1
194004,42.7,-4.3
194104,50.7,3.7
194204,48.9,1.9
194304,42.5,-4.5
194404,43.8,-3.2
194504,51.7,4.7
194604,45.3,-1.7
194704,46.3,-0.7
194804,47.1,0.1
194904,50,3
195004,45.8,-1.2
195104,50.1,3.1
195204,49.6,2.6
195304,48.1,1.1
195404,49.2,2.2
195504,48.3,1.3
195604,44.7,-2.3
195704,48.5,1.5
195804,47.9,0.9
195904,48.1,1.1
196004,47.5,0.5
196104,44.4,-2.6
196204,48.5,1.5
196304,47.7,0.7
196404,45.8,-1.2
196504,44.4,-2.6
196604,44.8,-2.2
196704,43.9,-3.1
196804,48.6,1.6
196904,49.6,2.6
197004,47.6,0.6
197104,44.5,-2.5
197204,43.5,-3.5
197304,48.5,1.5
197404,49.4,2.4
197504,42.6,-4.4
197604,52.6,5.6
197704,48.8,1.8
197804,46.3,-0.7
197904,47.1,0.1
198004,47.1,0.1
198104,50.1,3.1
198204,46.6,-0.4
198304,47.5,0.5
198404,45.1,-1.9
198504,48.3,1.3
198604,47.5,0.5
198704,44.2,-2.8
198804,45.9,-1.1
198904,45,-2
199004,46.7,-0.3
199104,50.4,3.4
199204,45.4,-1.6
199304,47.4,0.4
199404,50.5,3.5
199504,45.1,-1.9
199604,47.9,0.9
199704,46.3,-0.7
199804,49.4,2.4
199904,49.2,2.2
200004,47.3,0.3
200104,48.7,1.7
200204,49.7,2.7
200304,44.4,-2.6
200404,49.5,2.5
200504,49.7,2.7
200604,49.8,2.8
200704,45.2,-1.8
200804,49.4,2.4
200904,50.5,3.5
201004,53,6
201104,50.1,3.1
201204,53.1,6.1
201304,48.9,1.9
201404,48.1,1.1
201504,48,1
201604,47.1,0.1
201704,51.7,4.7
201804,45.4,-1.6
201904,50.1,3.1
